Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,street,district,area_comfort
60150.0,1.0,1504.0,21.0,26.0,2010.0,40.0,14.0,20.0,Михайла Котельникова,Солом'янський,6.0
185000.0,3.0,1745.0,8.0,25.0,2016.0,106.0,37.0,38.0,Героїв Севастополя,Солом'янський,31.0
81000.0,2.0,964.0,18.0,26.0,2020.0,84.0,37.0,17.0,Маланюка,Печерський,30.0
620000.0,3.0,4769.0,4.0,15.0,2017.0,130.0,66.0,16.0,Саперне Поле,Печерський,48.0
48700.0,1.0,991.0,19.0,25.0,2010.0,69.0,37.0,14.0,Балтійський,Оболонський,18.0
234000.0,3.0,2000.0,7.0,15.0,2010.0,117.0,76.0,12.0,Кудрявська,Шевченківський,29.0
135000.0,2.0,2523.0,28.0,34.0,2018.0,69.0,37.0,14.0,Перемоги,Шевченківський,18.0
130000.0,2.0,2600.0,1.0,5.0,1964.0,50.0,37.0,12.0,Німанська,Печерський,1.0
54100.0,1.0,1339.0,4.0,26.0,2018.0,69.0,37.0,14.0,Каховська,Дніпровський,18.0
239000.0,3.0,3025.0,3.0,7.0,1954.0,79.0,44.0,13.0,Малопідвальна,Шевченківський,22.0
140000.0,2.0,2188.0,10.0,14.0,2010.0,64.0,34.0,15.0,Невська,Святошинський,15.0
128000.0,2.0,2612.0,5.0,14.0,2015.0,49.0,14.0,17.0,Златоустівська,Святошинський,18.0
31000.0,1.0,1107.0,9.0,9.0,1986.0,28.0,13.0,6.0,Берковецька,Святошинський,9.0
41187.0,1.0,936.0,3.0,13.0,2010.0,44.0,19.0,11.0,Берковецька,Святошинський,14.0
120000.0,3.0,1188.0,11.0,16.0,1998.0,101.0,37.0,14.0,Бажана,"Голосіївський, Печерський",50.0
740000.0,1.0,2772.0,20.0,24.0,2019.0,267.0,150.0,75.0,Антоновича,"Голосіївський, Печерський",42.0
180000.0,3.0,2400.0,3.0,8.0,1990.0,75.0,41.0,9.0,*** not found,Дніпровський,25.0
63000.0,3.0,900.0,1.0,9.0,1973.0,70.0,41.0,8.0,Гречка,Дніпровський,21.0
126000.0,2.0,1658.0,15.0,32.0,2020.0,76.0,41.0,14.0,Микільсько-Слобідська,Дніпровський,21.0
80000.0,2.0,1067.0,6.0,26.0,2010.0,75.0,27.0,21.0,Правди,Подільський,27.0
98000.0,1.0,1750.0,8.0,19.0,2018.0,56.0,22.0,19.0,Тимошенка,Святошинський,15.0
150000.0,2.0,1807.0,16.0,23.0,2003.0,83.0,37.0,14.0,Павла Тичини,Святошинський,32.0
100000.0,3.0,1000.0,8.0,17.0,2003.0,100.0,64.0,14.0,Олевська,Святошинський,22.0
120000.0,3.0,1237.0,2.0,21.0,2016.0,97.0,52.0,20.0,Освіти,Солом'янський,25.0
