Price,rooms,price_per_m2,level,levels,year,area_total,area_living,area_kitchen,area_comfort,street,district
38000.0,1.0,1118.0,4.0,9.0,1979.0,34.0,18.0,7.0,9.0,Миколи Кибальчича,"Голосіївський, Печерський"
45000.0,3.0,750.0,9.0,9.0,1980.0,60.0,40.0,7.0,13.0,Миколи Ушакова,"Голосіївський, Печерський"
250000.0,3.0,1538.0,10.0,22.0,2001.0,106.0,50.0,20.0,36.0,Антоновича,"Голосіївський, Печерський"
185000.0,3.0,1745.0,18.0,25.0,2014.0,106.0,37.0,14.0,55.0,Богданівська,Солом'янський
68000.0,2.0,1030.0,10.0,26.0,2020.0,66.0,27.0,24.0,15.0,Сверстюка,Дарницький
57000.0,1.0,1295.0,9.0,25.0,2019.0,44.0,37.0,16.0,0.0,Сверстюка,Дарницький
52500.0,2.0,721.0,7.0,25.0,2021.0,130.0,30.0,18.0,82.0,Ревуцького,Дарницький
250000.0,4.0,1923.0,7.0,22.0,2010.0,130.0,50.0,50.0,30.0,Ованеса Туманяна,Печерський
540000.0,4.0,4000.0,4.0,14.0,2019.0,135.0,37.0,14.0,84.0,Саперне Поле,Печерський
120000.0,3.0,945.0,12.0,16.0,1997.0,127.0,37.0,14.0,76.0,Григоренка,Оболонський
55999.0,1.0,1400.0,13.0,14.0,2020.0,40.0,22.0,6.0,12.0,Гречка,Оболонський
68800.0,3.0,1110.0,2.0,12.0,1977.0,62.0,40.0,8.0,14.0,Богатирська,Оболонський
120000.0,2.0,2400.0,19.0,22.0,2009.0,50.0,37.0,14.0,0.0,Білоруська,Шевченківський
94000.0,1.0,2043.0,1.0,9.0,2009.0,46.0,37.0,14.0,0.0,Регенераторна,Дніпровський
65500.0,1.0,1770.0,20.0,27.0,2019.0,37.0,14.0,9.0,14.0,Вишняківська,Дарницький
50000.0,2.0,1087.0,16.0,16.0,1982.0,46.0,26.0,8.0,12.0,Гонгадзе,Подільський
52500.0,1.0,1117.0,15.0,25.0,2019.0,47.0,15.0,18.0,14.0,Правди,Подільський
64980.0,4.0,812.0,4.0,9.0,1969.0,80.0,56.0,7.0,17.0,Кольцова,Святошинський
115000.0,2.0,1643.0,13.0,17.0,2014.0,70.0,32.0,12.0,26.0,Воскресенська,Дніпровський
